record_id,modality,target,molecule,type,value_nM,relation,pchembl
chembl-0,other,CHEMBL1824,CHEMBL68920,IC50,300.0,=,6.52
chembl-1,other,CHEMBL1824,CHEMBL68920,IC50,2500.0,=,5.6
chembl-2,other,CHEMBL1824,CHEMBL69960,IC50,400.0,=,6.4
chembl-3,other,CHEMBL1824,CHEMBL69960,IC50,1210.0,=,5.92
chembl-4,other,CHEMBL1824,CHEMBL67057,IC50,100.0,=,7.0
chembl-5,other,CHEMBL1824,CHEMBL67057,IC50,,,
chembl-6,other,CHEMBL1824,CHEMBL65848,IC50,5000.0,>,
chembl-7,other,CHEMBL1824,CHEMBL65848,IC50,2780.0,=,5.56
chembl-8,other,CHEMBL1824,CHEMBL69629,IC50,100.0,=,7.0
chembl-9,other,CHEMBL1824,CHEMBL69629,IC50,1240.0,=,5.91
chembl-10,other,CHEMBL1824,CHEMBL66570,IC50,100.0,=,7.0
chembl-11,other,CHEMBL1824,CHEMBL66570,IC50,350.0,=,6.46
chembl-12,other,CHEMBL1824,CHEMBL305194,IC50,5000.0,>,
chembl-13,other,CHEMBL1824,CHEMBL305194,IC50,49300.0,=,4.31
chembl-14,other,CHEMBL1824,CHEMBL67003,IC50,100.0,=,7.0
chembl-15,other,CHEMBL1824,CHEMBL67003,IC50,,,
chembl-16,other,CHEMBL1824,CHEMBL305246,IC50,200.0,=,6.7
chembl-17,other,CHEMBL1824,CHEMBL305246,IC50,370.0,=,6.43
chembl-18,other,CHEMBL1824,CHEMBL69966,IC50,40.0,=,7.4
chembl-19,other,CHEMBL1824,CHEMBL69966,IC50,500.0,=,6.3
chembl-20,other,CHEMBL1824,CHEMBL69358,IC50,200.0,=,6.7
chembl-21,other,CHEMBL1824,CHEMBL69358,IC50,370.0,=,6.43
chembl-22,other,CHEMBL1824,CHEMBL69071,IC50,500.0,=,6.3
chembl-23,other,CHEMBL1824,CHEMBL69071,IC50,510.0,=,6.29
chembl-24,other,CHEMBL1824,CHEMBL264382,IC50,40.0,=,7.4
chembl-25,other,CHEMBL1824,CHEMBL264382,IC50,1560.0,=,5.81
chembl-26,other,CHEMBL1824,CHEMBL308672,IC50,,,
chembl-27,other,CHEMBL1824,CHEMBL308672,IC50,,,
chembl-28,other,CHEMBL1824,CHEMBL136058,IC50,5.0,=,8.3
chembl-29,other,CHEMBL1824,CHEMBL939,IC50,1604.0,=,5.79
chembl-30,other,CHEMBL1824,CHEMBL95320,IC50,11750.0,=,4.93
chembl-31,other,CHEMBL1824,CHEMBL545315,IC50,9.0,=,8.05
chembl-32,other,CHEMBL1824,CHEMBL434827,IC50,14.0,=,7.85
chembl-33,other,CHEMBL1824,CHEMBL31965,IC50,529.0,=,6.28
chembl-34,other,CHEMBL1824,CHEMBL138940,IC50,24.0,=,7.62
chembl-35,other,CHEMBL1824,CHEMBL95774,IC50,1692.0,=,5.77
chembl-36,other,CHEMBL1824,CHEMBL553,IC50,18520.0,=,4.73
chembl-37,other,CHEMBL1824,CHEMBL334801,IC50,13.0,=,7.89
chembl-38,other,CHEMBL1824,CHEMBL99024,IC50,14700.0,=,4.83
chembl-39,other,CHEMBL1824,CHEMBL140561,IC50,110.0,=,6.96
chembl-40,other,CHEMBL1824,CHEMBL342828,IC50,8.1,=,8.09
chembl-41,other,CHEMBL1824,CHEMBL345109,IC50,207.0,=,6.68
chembl-42,other,CHEMBL1824,CHEMBL607707,IC50,1229.0,=,5.91
chembl-43,other,CHEMBL1824,CHEMBL125401,IC50,25000.0,>,
chembl-44,other,CHEMBL1824,CHEMBL300936,IC50,25000.0,>,
chembl-45,other,CHEMBL1824,CHEMBL428690,IC50,15800.0,=,4.8
chembl-46,other,CHEMBL1824,CHEMBL14932,IC50,263.0,=,6.58
chembl-47,other,CHEMBL1824,CHEMBL553,IC50,760.0,=,6.12
chembl-48,other,CHEMBL1824,CHEMBL939,IC50,240.0,=,6.62
chembl-49,other,CHEMBL1824,CHEMBL15346,IC50,95.0,=,7.02
chembl-50,other,CHEMBL1824,CHEMBL15202,IC50,309.0,=,6.51
chembl-51,other,CHEMBL1824,CHEMBL554,IC50,9.0,=,8.05
chembl-52,other,CHEMBL1824,CHEMBL14627,IC50,117.0,=,6.93
chembl-53,other,CHEMBL1824,CHEMBL460731,IC50,210.0,=,6.68
chembl-54,other,CHEMBL1824,CHEMBL460731,IC50,1380.0,=,5.86
chembl-55,other,CHEMBL1824,CHEMBL514436,IC50,10.0,=,8.0
chembl-56,other,CHEMBL1824,CHEMBL14952,IC50,234.0,=,6.63
chembl-57,other,CHEMBL1824,CHEMBL273789,IC50,977.0,=,6.01
chembl-58,other,CHEMBL1824,CHEMBL517907,IC50,234.0,=,6.63
chembl-59,other,CHEMBL1824,CHEMBL517907,IC50,1680.0,=,5.78
chembl-60,other,CHEMBL1824,CHEMBL460732,IC50,147.0,=,6.83
chembl-61,other,CHEMBL1824,CHEMBL540701,IC50,347.0,=,6.46
chembl-62,other,CHEMBL1824,CHEMBL493428,IC50,19.0,=,7.72
chembl-63,other,CHEMBL1824,CHEMBL493428,IC50,390.0,=,6.41
chembl-64,other,CHEMBL1824,CHEMBL14874,IC50,1778.0,=,5.75
chembl-65,other,CHEMBL1824,CHEMBL160846,IC50,14.0,=,7.85
chembl-66,other,CHEMBL1824,CHEMBL160846,IC50,360.0,=,6.44
chembl-67,other,CHEMBL1824,CHEMBL160846,IC50,280.0,=,6.55
chembl-68,other,CHEMBL1824,CHEMBL422347,IC50,48.0,=,7.32
chembl-69,other,CHEMBL1824,CHEMBL422347,IC50,1500.0,=,5.82
chembl-70,other,CHEMBL1824,CHEMBL422347,IC50,860.0,=,6.07
chembl-71,other,CHEMBL1824,CHEMBL160303,IC50,28.0,=,7.55
chembl-72,other,CHEMBL1824,CHEMBL160303,IC50,90.0,=,7.05
chembl-73,other,CHEMBL1824,CHEMBL160303,IC50,60.0,=,7.22
chembl-74,other,CHEMBL1824,CHEMBL269620,IC50,550.0,=,6.26
chembl-75,other,CHEMBL1824,CHEMBL269620,IC50,7400.0,=,5.13
chembl-76,other,CHEMBL1824,CHEMBL269620,IC50,15000.0,=,4.82
chembl-77,other,CHEMBL1824,CHEMBL155761,IC50,14.0,=,7.85
chembl-78,other,CHEMBL1824,CHEMBL155761,IC50,130.0,=,6.89
chembl-79,other,CHEMBL1824,CHEMBL155761,IC50,110.0,=,6.96
chembl-80,other,CHEMBL1824,CHEMBL157084,IC50,200.0,=,6.7
chembl-81,other,CHEMBL1824,CHEMBL157084,IC50,4400.0,=,5.36
chembl-82,other,CHEMBL1824,CHEMBL157084,IC50,2400.0,=,5.62
chembl-83,other,CHEMBL1824,CHEMBL55993,IC50,50118.72,=,4.3
chembl-84,other,CHEMBL1824,CHEMBL55360,IC50,33884.42,=,4.47
chembl-85,other,CHEMBL1824,CHEMBL56731,IC50,41686.94,=,4.38
chembl-86,other,CHEMBL1824,CHEMBL333454,IC50,1659.59,=,5.78
chembl-87,other,CHEMBL1824,CHEMBL122522,IC50,2511.89,=,5.6
chembl-88,other,CHEMBL1824,CHEMBL56219,IC50,57543.99,=,4.24
chembl-89,other,CHEMBL1824,CHEMBL118205,IC50,1513.56,=,5.82
chembl-90,other,CHEMBL1824,CHEMBL116595,IC50,128.82,=,6.89
chembl-91,other,CHEMBL1824,CHEMBL324030,IC50,8709.64,=,5.06
chembl-92,other,CHEMBL1824,CHEMBL417941,IC50,16982.44,=,4.77
chembl-93,other,CHEMBL1824,CHEMBL326100,IC50,251.19,=,6.6
chembl-94,other,CHEMBL1824,CHEMBL56542,IC50,4897.79,=,5.31
chembl-95,other,CHEMBL1824,CHEMBL293749,IC50,22908.68,=,4.64
chembl-96,other,CHEMBL1824,CHEMBL143212,IC50,4570.88,=,5.34
chembl-97,other,CHEMBL1824,CHEMBL440298,IC50,501187.23,=,
chembl-98,other,CHEMBL1824,CHEMBL326318,IC50,10000.0,=,5.0
chembl-99,other,CHEMBL1824,CHEMBL1161234,IC50,15848.93,=,4.8
chembl-100,other,CHEMBL1824,CHEMBL281872,IC50,100000.0,>,
chembl-101,other,CHEMBL1824,CHEMBL116423,IC50,58884.37,=,4.23
chembl-102,other,CHEMBL1824,CHEMBL56319,IC50,331131.12,=,
chembl-103,other,CHEMBL1824,CHEMBL53898,IC50,34673.69,=,4.46
chembl-104,other,CHEMBL1824,CHEMBL56393,IC50,16982.44,=,4.77
chembl-105,other,CHEMBL1824,CHEMBL1161236,IC50,4570.88,=,5.34
chembl-106,other,CHEMBL1824,CHEMBL143805,IC50,2884.03,=,5.54
chembl-107,other,CHEMBL1824,CHEMBL296407,IC50,6456.54,=,5.19
chembl-108,other,CHEMBL1824,CHEMBL118321,IC50,10000.0,=,5.0
chembl-109,other,CHEMBL1824,CHEMBL115895,IC50,3311.31,=,5.48
chembl-110,other,CHEMBL1824,CHEMBL56879,IC50,3019.95,=,5.52
chembl-111,other,CHEMBL1824,CHEMBL331026,IC50,6165.95,=,5.21
chembl-112,other,CHEMBL1824,CHEMBL140213,IC50,1000.0,=,6.0
chembl-113,other,CHEMBL1824,CHEMBL533849,IC50,20000.0,>,
chembl-114,other,CHEMBL1824,CHEMBL115519,IC50,15135.61,=,4.82
chembl-115,other,CHEMBL1824,CHEMBL119156,IC50,707.95,=,6.15
chembl-116,other,CHEMBL1824,CHEMBL119987,IC50,446.68,=,6.35
chembl-117,other,CHEMBL1824,CHEMBL54471,IC50,10000.0,=,5.0
chembl-118,other,CHEMBL1824,CHEMBL55979,IC50,37153.52,=,4.43
chembl-119,other,CHEMBL1824,CHEMBL141238,IC50,20892.96,=,4.68
chembl-120,other,CHEMBL1824,CHEMBL59145,IC50,12022.64,=,4.92
chembl-121,other,CHEMBL1824,CHEMBL118109,IC50,346.74,=,6.46
chembl-122,other,CHEMBL1824,CHEMBL1161235,IC50,91201.08,=,4.04
chembl-123,other,CHEMBL1824,CHEMBL55994,IC50,34673.69,=,4.46
chembl-124,other,CHEMBL1824,CHEMBL334032,IC50,17378.01,=,4.76
